Age,Ba138Ca,BaCa,SrCa,UCa
1796.755,0.0034631,0.00361094,8.66919,0.00118194
1796.777,0.00358128,0.00366215,8.68835,0.00117199
1796.798,0.00378307,0.00380284,8.75993,0.00114406
1796.82,0.00385905,0.00383979,8.67981,0.00114461
1796.842,0.00380001,0.00376811,8.78798,0.00117468
1796.864,0.00386244,0.00385083,8.8138,0.00114051
1796.886,0.0038712,0.00378287,8.64404,0.001169
1796.908,0.00399394,0.00388403,8.65049,0.00112727
1796.93,0.00373087,0.00370134,8.53794,0.00106388
1796.951,0.00381507,0.00394491,8.77514,0.00118342
1796.973,0.00415726,0.00407589,8.65043,0.00115075
1796.995,0.00413117,0.00401506,8.58831,0.00109994
1797.017,0.00415578,0.00421592,8.66566,0.0011098
1797.039,0.00424173,0.00423483,8.45828,0.00102277
1797.061,0.00429804,0.00436479,8.52938,0.00108582
1797.083,0.00413342,0.00428115,8.51853,0.00105031
1797.104,0.00433078,0.00428304,8.83983,0.00122662
1797.117,0.00439383,0.00449484,8.91862,0.00127269
1797.131,0.00410408,0.00402073,8.7978,0.00126538
1797.144,0.00389341,0.00388422,8.90282,0.00125051
1797.157,0.00390151,0.00391292,8.8502,0.00127742
1797.17,0.00383664,0.00395542,8.87107,0.00125496
1797.183,0.00399528,0.00388164,8.76556,0.00125659
1797.196,0.00390571,0.00394274,8.84494,0.00139855
1797.209,0.00386062,0.00381798,8.75136,0.00128272
1797.222,0.00398442,0.00396551,8.8176,0.00124692
1797.235,0.00396431,0.00381359,8.81648,0.00125996
1797.248,0.00368614,0.00376631,8.73944,0.00119842
1797.261,0.00388582,0.00391968,8.77714,0.00122888
1797.275,0.00389234,0.0038866,8.88894,0.00138073
1797.288,0.00405068,0.00401083,9.01801,0.00133277
1797.301,0.00409865,0.00401212,8.93845,0.00124058
1797.314,0.0037991,0.00376918,8.69836,0.00128103
1797.327,0.00371205,0.00370284,8.83219,0.00118839
1797.34,0.00386825,0.00390311,8.92657,0.00129644
1797.353,0.00406488,0.00392613,8.82571,0.00128122
1797.366,0.00406548,0.00396814,9.04765,0.0013553
1797.379,0.003736,0.00390903,8.79052,0.00129857
1797.392,0.00416048,0.00396544,8.86328,0.00121282
1797.405,0.00395315,0.00383635,8.73795,0.00115816
1797.418,0.00400706,0.00391536,8.95525,0.00125008
1797.432,0.00381923,0.00388759,8.97701,0.00128752
1797.445,0.00373991,0.00381253,8.90876,0.00129682
1797.458,0.00384571,0.00385017,8.99965,0.00137283
1797.471,0.00400443,0.00400576,8.85457,0.0012232
1797.484,0.00400961,0.00390142,8.83443,0.00120209
1797.497,0.00390946,0.0039424,8.90783,0.00124917
1797.51,0.00365305,0.00373887,8.71112,0.00111462
1797.523,0.00377086,0.00382263,8.88444,0.00127997
1797.536,0.00378864,0.00384036,9.01233,0.00140491
1797.549,0.00364482,0.00380729,8.88304,0.00129943
1797.562,0.00377983,0.00399535,8.80139,0.00128166
1797.575,0.003917,0.00393013,8.93505,0.00129889
1797.589,0.00380925,0.00389116,8.89816,0.00134908
1797.602,0.00355566,0.00368124,8.86833,0.00130309
1797.614,0.00391935,0.00393883,9.00028,0.00134391
1797.626,0.00383548,0.00383096,8.90643,0.00131726
1797.638,0.00390509,0.0038902,8.99321,0.0014401
1797.65,0.00418673,0.00434316,9.0066,0.00133579
1797.661,0.00402451,0.00394385,8.95496,0.00140778
1797.673,0.00370809,0.00371264,8.83156,0.00128339
1797.685,0.0038554,0.00394071,9.07389,0.00144801
1797.697,0.00381554,0.00370776,8.85652,0.00138858
1797.709,0.00377643,0.00386334,8.93655,0.00138233
1797.721,0.00384225,0.00377179,9.01412,0.00149129
1797.733,0.00386652,0.0037684,8.8796,0.00140655
1797.745,0.00379563,0.00388628,8.93929,0.00136048
1797.757,0.00370433,0.0035809,8.76703,0.00130468
1797.769,0.00367771,0.00379879,9.0605,0.00140453
1797.781,0.00408691,0.00384348,9.03306,0.00142605
1797.793,0.00374909,0.00365052,8.94471,0.001504
1797.805,0.0036656,0.00358904,8.76725,0.00141251
1797.817,0.00366824,0.00380675,8.56517,0.00121591
1797.829,0.00382961,0.00385533,8.8461,0.00126781
1797.841,0.00377032,0.00385489,8.91788,0.00129383
1797.853,0.00353087,0.0042492,8.77276,0.00127467
1797.865,0.00369682,0.00359033,8.92566,0.00135898
1797.877,0.00348858,0.00357739,8.84765,0.00134253
1797.889,0.00396928,0.00388597,8.85471,0.00129153
1797.901,0.00386433,0.0039663,8.91459,0.00131371
1797.913,0.00381639,0.0037931,8.91648,0.00136702
1797.925,0.00384513,0.00374804,8.75287,0.00118803
1797.937,0.00408779,0.00400921,8.72091,0.00112932
1797.949,0.00429098,0.00416848,8.94155,0.00128239
1797.961,0.00395353,0.00382018,8.93918,0.00132165
1797.973,0.00386427,0.00387657,8.86902,0.00125487
1797.985,0.00367488,0.00389667,8.84004,0.00126121
1797.997,0.00383983,0.00393445,8.81516,0.00121091
1798.009,0.00403817,0.00403008,8.94779,0.00126632
1798.021,0.00399366,0.00401169,8.9993,0.00137308
1798.033,0.00429343,0.00412482,9.25214,0.0015228
1798.045,0.00390178,0.00403753,9.16543,0.00146827
1798.057,0.00402639,0.00407389,9.06589,0.00141715
1798.068,0.00400318,0.00403145,8.91059,0.0012857
1798.08,0.00414047,0.00413476,9.00971,0.001332
1798.092,0.0038535,0.00396199,8.86867,0.00123243
1798.104,0.00390658,0.00403472,8.84134,0.00118791
1798.131,0.00398063,0.00400545,8.66184,0.00114844
1798.157,0.00413273,0.0039983,8.65676,0.00116753
1798.183,0.00384424,0.00379512,8.63232,0.00111956
1798.209,0.00397481,0.00397067,8.58688,0.00108285
1798.235,0.0039598,0.0039958,8.51092,0.0010817
1798.261,0.0036128,0.00367205,8.60795,0.00116936
1798.288,0.00366919,0.0036085,8.57034,0.00111532
1798.314,0.00360322,0.00368494,8.74859,0.00120088
1798.34,0.00354798,0.0034735,8.62932,0.00113686
1798.366,0.00302836,0.00302003,8.3611,0.00102133
1798.392,0.00336467,0.0033771,8.56248,0.00104227
1798.418,0.003638,0.00348357,8.48273,0.0010578
1798.445,0.00386187,0.0039075,8.81272,0.00123039
1798.471,0.00373807,0.00377247,8.63478,0.00124571
1798.497,0.00363969,0.00373231,8.62721,0.00120145
1798.523,0.00386211,0.0037837,8.76132,0.00118912
1798.549,0.00369565,0.00371149,8.60422,0.00113677
1798.575,0.0036791,0.00374049,8.62514,0.00122078
1798.602,0.00354941,0.00369186,8.60919,0.00124362
1798.618,0.00398699,0.00394026,8.81437,0.00123527
1798.634,0.00384299,0.00388006,8.79626,0.00123549
1798.65,0.00382894,0.00380027,8.79622,0.00129979
1798.667,0.00405415,0.00392806,8.95191,0.00136264
1798.683,0.00378004,0.00386672,8.95483,0.00143165
1798.699,0.00410325,0.00399258,9.00237,0.00135811
