Age,BaCa,Cd,Mn,MnCa,P,Y,Distance
1991.372603,0.0064505160,0.009936438,0.246473358,0.000449256,17.52054138,0.063909558,113.008125
1991.386301,0.0064520489,0.01041743,0.220701664,0.000402281,19.35696084,0.064243752,112.7866346
1991.4,0.0064889653,0.009496547,0.196315323,0.000357831,17.981334,0.074534461,112.5651442
1991.410959,0.0063737729,0.00678305,0.189817947,0.000345988,21.3367154,0.07593762,112.3436538
1991.424658,0.0063226947,0.006744844,0.209945525,0.000382675,17.13680121,0.073862374,112.1221635
1991.438356,0.0062130900,0.005673733,0.249221205,0.000454264,19.14161086,0.082192844,111.9006731
1991.452055,0.0063484044,0.010561378,0.280287036,0.000510889,15.76235509,0.063406912,111.6791827
1991.465753,0.0064630280,0.007939141,0.284533897,0.00051863,18.55957805,0.068059514,111.4576923
1991.479452,0.0060912386,0.009636814,0.568454277,0.001036141,16.74330868,0.06239791,111.2362019
1991.490411,0.0059687724,0.010150934,0.695895674,0.001268433,21.57380542,0.060938959,111.0147115
1991.50411,0.0057729347,0.012452027,0.779127493,0.001420143,19.60937319,0.053912644,110.7932212
1991.517808,0.0053667450,0.010890468,0.98989868,0.001804323,14.88790495,0.054496479,110.5717308
1991.531507,0.0055141294,0.002934651,0.28232789,0.000514609,17.36541946,0.063764545,110.3502404
1991.545205,0.0055557817,0.005588712,0.256108221,0.000466817,26.47611688,0.05673971,110.12875
1991.558904,0.0055108462,0.004874953,0.259840178,0.00047362,20.23498384,0.053409606,109.9072596
1991.583562,0.0054709923,0.002744684,0.278637803,0.000507883,14.80945256,0.052198689,109.6857692
1991.610959,0.0056173443,0.003096735,0.26164911,0.000476917,16.09414065,0.053857528,109.4642788
1991.638356,0.0056870481,0.004488352,0.261166143,0.000476037,18.75396584,0.069038711,109.2427885
1991.663014,0.0056154620,0.004860929,0.270511946,0.000493072,17.75574,0.068377446,109.0212981
1991.690411,0.0054143598,0.003952391,0.283245417,0.000516281,19.79478015,0.061736647,108.7998077
1991.717808,0.0050789918,0.011067792,0.295049763,0.000537797,18.15042993,0.058768458,108.5783173
1991.742466,0.0044924408,0.00610895,0.320668209,0.000584493,13.61302038,0.047856482,108.3568269
1991.769863,0.0041919816,0.005108016,0.309334111,0.000563834,14.07094985,0.046239486,108.1353365
1991.79726,0.0042389805,0.010498662,0.321387847,0.000585805,24.07986028,0.05651108,107.9138462
1991.821918,0.0040644611,0.013677242,0.329269151,0.00060017,19.58746105,0.042332395,107.6923558
1991.849315,0.0040227658,0.008147431,0.339152476,0.000618185,19.69972691,0.050300181,107.4708654
1991.876712,0.0042138675,0.013387888,0.34111803,0.000621768,22.06131223,0.047809442,107.249375
1991.90411,0.0043908026,0.012238706,0.356575407,0.000649942,22.5985047,0.05707067,107.0278846
1991.915068,0.0045075136,0.011255485,0.362235753,0.00066026,27.99556344,0.069073736,106.8063942
1991.928767,0.0045704850,0.019719475,0.383531412,0.000699076,37.04058432,0.070706602,106.5849038
1991.939726,0.0044496752,0.014975787,0.423587614,0.000772088,28.14272207,0.059885217,106.3634135
1991.953425,0.0042939563,0.019730485,0.439041651,0.000800257,29.40038488,0.063968488,106.1419231
1991.964384,0.0042204874,0.015450099,0.384942697,0.000701648,24.92265241,0.054908539,105.9204327
1991.978082,0.0042131090,0.009306663,0.34753941,0.000633472,32.36569699,0.06214752,105.6989423
1991.989041,0.0043021942,0.007471253,0.411995803,0.000750959,31.98748258,0.055142959,105.4774519
1992.002732,0.0045568106,0.013330099,0.468241152,0.000853479,37.2174009,0.067441634,105.2559615
1992.013661,0.0043925926,0.020530669,0.486636611,0.00088701,33.58731477,0.06094569,105.0344712
1992.027322,0.0040770919,0.021794907,0.503134948,0.000917082,30.98843322,0.05854485,104.8129808
1992.038251,0.0040341172,0.045052093,0.503899019,0.000918474,41.38178122,0.050579157,104.5914904
1992.051913,0.0038804948,0.038853824,0.545536453,0.000994368,34.02913881,0.046914908,104.37
