Age,BaCa,BCa,MgCa,Mn,SrCa,UCa,Dist
1990.1662,0.00256304,0.453433412,4.26180423,0.102809381,8.686369472,0.000907964,42.44
1990.1918,0.002445993,0.453008871,4.137698354,0.097734366,8.793198459,0.000927518,42.13
1990.2132,0.002754741,0.469188214,4.480766561,0.120696769,8.742886935,0.000901163,41.82
1990.2266,0.002648011,0.46556006,4.469959954,0.11237157,8.788791951,0.000885776,41.51
1990.2549,0.002101253,0.471586369,4.236205632,0.093054813,8.740310505,0.00092134,41.21
1990.2831,0.001937838,0.49407022,4.203910358,0.098439017,8.725771462,0.000899653,40.9
1990.3114,0.00209543,0.500040959,4.214044417,0.104514877,8.825522122,0.000955849,40.59
1990.3397,0.001940943,0.477995137,4.097680015,0.099881839,8.928693492,0.000917294,40.28
1990.3679,0.002391716,0.499767782,4.215621807,0.118071291,8.885484084,0.000987737,39.97
1990.3962,0.002488589,0.523774809,4.137885376,0.106196613,8.991113948,0.001042912,39.66
1990.4245,0.001972504,0.535940345,3.872832854,0.096796339,8.966561193,0.001031499,39.35
1990.4527,0.002208186,0.534325669,3.491295166,0.10781383,9.047834148,0.001101029,39.04
1990.481,0.002395186,0.519530131,3.510109594,0.086232415,9.150676741,0.001133509,38.74
1990.5388,0.002369895,0.505318958,3.290768756,0.103674641,9.087129618,0.001145304,38.43
1990.5965,0.002432597,0.5116363,3.436549937,0.124094472,9.020125994,0.001114466,38.12
1990.6543,0.00217231,0.478345252,3.208185429,0.112811989,8.976237233,0.001106456,37.81
1990.712,0.002285707,0.492418237,3.536603306,0.106683019,9.072082532,0.001056072,37.5
1990.7372,0.00230653,0.510200163,3.955797487,0.127087522,8.940263018,0.000972445,37.19
1990.7624,0.002380723,0.526479654,4.123160442,0.112700998,8.929446638,0.000967112,36.88
1990.7876,0.00243505,0.484076421,4.121857322,0.110784242,8.921084622,0.000973383,36.57
1990.8128,0.002500076,0.475266006,4.283628217,0.137298747,8.929946814,0.000923697,36.27
1990.8379,0.002837013,0.45385645,4.144597979,0.145488677,8.83788603,0.000915474,35.96
1990.8631,0.00340927,0.439604042,4.541772094,0.121624774,8.95253701,0.000910311,35.65
1990.8883,0.0033184,0.424057871,4.273493131,0.110895578,8.811611799,0.000890763,35.34
1990.9135,0.004185193,0.431344792,4.247219333,0.100497335,8.738023231,0.000900735,35.03
1990.9387,0.003906604,0.443322764,4.006764896,0.104695997,8.816486867,0.000962206,34.72
1990.9639,0.002315203,0.452927788,4.310237173,0.10585854,8.730041948,0.000919256,34.41
1990.9891,0.001898954,0.430880587,4.321379414,0.107231034,8.852695614,0.000924348,34.1
1991.0142,0.002313329,0.413677456,4.610251126,0.13673877,8.757765299,0.000921234,33.8
1991.0394,0.002768476,0.406777107,4.593395644,0.150871913,8.742792432,0.000872484,33.49
1991.0646,0.002727601,0.41740219,4.249925697,0.177221365,8.743617947,0.000904897,33.18
1991.0898,0.003089547,0.408187691,4.145529504,0.210571099,8.690681165,0.000929222,32.87
1991.115,0.003903569,0.434072043,4.421035728,0.149442541,8.674386539,0.000879028,32.56
1991.1324,0.002806563,0.452231612,4.284873517,0.129852262,8.779990623,0.000878729,32.25
1991.1497,0.002899178,0.461489166,4.275113418,0.135286482,8.862539049,0.000944227,31.94
1991.1671,0.002853018,0.46183985,4.338676652,0.124246745,8.811114424,0.000923761,31.63
1991.1844,0.003024734,0.456832744,4.335783065,0.138877421,8.821170289,0.000914682,31.32
1991.2018,0.0024924,0.450677336,4.39680545,0.139307778,8.905731774,0.000897337,31.02
1991.2191,0.002342672,0.463049604,4.081488271,0.123159742,8.894793015,0.000969035,30.71
1991.2365,0.002502588,0.476477908,4.139792531,0.118251385,8.905027833,0.000968375,30.4
1991.2538,0.002521797,0.472487634,4.070853823,0.101924667,8.955545089,0.000968598,30.09
1991.2712,0.002287609,0.470943344,3.999942259,0.109166549,9.000892645,0.000984562,29.78
1991.2885,0.002557237,0.45695789,4.012750083,0.107782078,8.942366345,0.00102245,29.47
1991.3059,0.002503522,0.45571347,4.184085723,0.108950544,8.92980357,0.001014537,29.16
1991.3232,0.002653868,0.482070831,4.318595404,0.088296566,8.885769333,0.000962113,28.85
1991.3406,0.002428071,0.479013738,3.960008043,0.085236475,8.969866184,0.001017318,28.55
1991.3579,0.002601427,0.468323601,3.675722027,0.077580634,8.990099484,0.001061005,28.24
1991.3753,0.002402936,0.521481863,3.434192771,0.065332446,9.020180445,0.001119579,27.93
1991.3926,0.002254137,0.503034674,3.307734954,0.082493629,8.990389138,0.00109738,27.62
1991.41,0.002556067,0.500382461,3.474720564,0.092873636,8.963234674,0.001091087,27.31
1991.4273,0.00260339,0.510392681,3.627381627,0.076160383,9.104102655,0.001115697,27
1991.4447,0.00271011,0.515353099,3.589823521,0.09719876,9.090366199,0.001110187,26.69
1991.462,0.002584937,0.510844561,3.333324512,0.102000292,9.131121384,0.001057887,26.38
1991.493,0.00311104,0.520727133,3.426852955,0.114988638,9.054271235,0.001105604,26.08
1991.524,0.003260502,0.499990141,3.605044698,0.113915915,8.913183967,0.00105614,25.77
1991.555,0.003972389,0.523261323,4.049872426,0.124308573,8.99845164,0.001005917,25.46
1991.586,0.002884743,0.505503331,3.82143293,0.14728809,8.975304237,0.001015379,25.15
1991.617,0.003070962,0.497235268,3.719707762,0.143001038,9.106213194,0.001031016,24.84
1991.648,0.003143597,0.51228287,3.902759311,0.138667728,9.006520803,0.001063161,24.53
1991.679,0.004135093,0.481642261,3.854172652,0.12015543,8.987994155,0.00104129,24.22
1991.71,0.004682066,0.476829938,3.745429724,0.121027857,8.990814576,0.001038533,23.91
1991.741,0.003828601,0.473685035,3.643844686,0.125559034,9.132985989,0.001033086,23.61
1991.772,0.003354076,0.474247266,3.716501273,0.113048007,8.948415152,0.001061294,23.3
1991.803,0.002685379,0.453922584,3.822901434,0.118583381,9.009975245,0.001060485,22.99
1991.834,0.002579291,0.454449874,3.934170372,0.127565153,8.83015228,0.001039537,22.68
1991.865,0.002519206,0.432027462,3.911314718,0.115411799,8.825682036,0.001040835,22.37
1991.8852,0.003000788,0.428136997,3.987315529,0.121526937,8.856271022,0.001015267,22.06
1991.9054,0.002988297,0.417345992,3.891153498,0.132727623,8.748139966,0.001014995,21.75
1991.9255,0.002683725,0.45392372,3.993249511,0.149997713,8.889547858,0.001025896,21.44
1991.9457,0.003057497,0.425462155,4.145504025,0.127313372,8.791683049,0.000954361,21.13
1991.9659,0.004321569,0.413813605,4.302437948,0.127452242,8.745034749,0.00090047,20.83
1991.9861,0.003511452,0.423262864,4.307460384,0.117619056,8.88930648,0.000940791,20.52
1992.0062,0.00388735,0.415935273,4.032720946,0.108701481,8.854062821,0.00103341,20.21
1992.0264,0.003491044,0.405088606,3.884696884,0.118350175,8.873897178,0.001034607,19.9
1992.0466,0.00312189,0.399880957,3.648240317,0.115308504,8.906138558,0.001066167,19.59
1992.0668,0.002584867,0.402494966,3.642965447,0.114387388,8.784132489,0.001051987,19.28
1992.0869,0.00284331,0.421735065,3.952247664,0.136684421,8.835283908,0.000986401,18.97
1992.1071,0.003745706,0.44049215,3.817000615,0.128485209,8.851134023,0.001022804,18.66
1992.1273,0.0033722,0.4654912,3.88840863,0.106094368,8.823491324,0.000971853,18.36
1992.1475,0.003332505,0.456124703,3.692421442,0.116885098,8.927647836,0.001018651,18.05
1992.1676,0.003267199,0.471684152,3.701249314,0.133582945,8.914166069,0.0010319,17.74
1992.1878,0.002925637,0.460798858,3.58867666,0.108343615,8.915009391,0.001103166,17.43
1992.208,0.003304914,0.458431938,3.825941824,0.102572303,8.755487242,0.001016124,17.12
1992.2564,0.003832056,0.451632485,4.204581201,0.088660042,8.824130876,0.000924313,16.81
1992.3049,0.003660243,0.442651239,4.029030576,0.102938479,8.92721118,0.00098544,16.5
1992.3533,0.003072976,0.458009386,3.889086298,0.103527096,8.993202589,0.00099912,16.19
1992.4017,0.003024531,0.473688808,3.526717401,0.118612112,9.002999816,0.001083085,15.89
1992.4501,0.003453616,0.481512364,3.442034124,0.114152835,9.033862048,0.00116568,15.58
1992.4986,0.003875786,0.519457118,3.291842837,0.138052735,9.090296846,0.001180684,15.27
1992.547,0.00486111,0.576046457,3.435318289,0.146793276,9.302162502,0.001147394,14.96
1992.5734,0.003854986,0.526177308,3.259465619,0.148229238,9.119795083,0.001179209,14.65
1992.5998,0.004601559,0.523656658,3.63615302,0.1334084,9.041512538,0.001046089,14.34
1992.6262,0.005399935,0.509607847,3.571406152,0.122731102,9.081075877,0.001070722,14.03
1992.6526,0.00653099,0.469960533,3.254926794,0.12947995,9.09118631,0.001172017,13.72
1992.679,0.006084423,0.498174185,3.430052981,0.107708017,9.166430453,0.001183198,13.42
1992.7054,0.004501713,0.488744026,3.298294927,0.118639427,9.015702039,0.001187501,13.11
1992.7318,0.004968357,0.439529229,3.223694761,0.13990604,9.181208374,0.001215724,12.8
1992.7582,0.006052546,0.455006661,3.66907978,0.369541345,9.045986254,0.001121963,12.49
1992.7846,0.00538793,0.441085765,3.733188335,0.166838021,8.932560536,0.001026821,12.18
1992.811,0.00566931,0.433782002,3.88783327,0.148066893,8.805497815,0.001002181,11.87
1992.8374,0.006777833,0.433075728,3.911354335,0.136492327,8.897891046,0.001001358,11.56
1992.8638,0.005898294,0.434974503,4.068311293,0.127710026,8.805230927,0.000986902,11.25
1992.8902,0.006215411,0.458036531,3.955590555,0.14240113,8.939516894,0.001010174,10.94
1992.9166,0.006868571,0.42533193,3.755269431,0.116757204,8.783711335,0.00101576,10.64
1992.943,0.006411711,0.429988097,3.762349363,0.124668301,8.723529996,0.000984351,10.33
1992.9786,0.006381698,0.421103743,3.42657828,0.174031928,8.829513988,0.00103199,10.02
1993.0141,0.00743969,0.434777043,3.598822657,0.125090897,8.856191105,0.001051325,9.71
1993.0497,0.005878469,0.442168654,3.730349643,0.098237907,8.751423221,0.001025506,9.4
1993.0853,0.006253803,0.40840984,3.903728057,0.139168872,8.798671673,0.001038813,9.09
1993.1209,0.010553891,0.407456597,4.290304476,0.108320852,8.759858355,0.000937276,8.78
1993.1564,0.011423104,0.399495679,3.958538178,0.133242967,8.789808768,0.001052755,8.47
1993.192,0.012358572,0.404705672,3.93298454,0.166454495,8.671739059,0.000948865,8.17
1993.2043,0.021348513,0.40180431,3.746539318,0.17717233,8.88028301,0.001113624,7.86
1993.2165,0.021365281,0.394829661,3.537116703,0.156828651,8.827021203,0.001216925,7.55
1993.2288,0.019460162,0.393995671,3.647703939,0.149188127,8.777814888,0.001122565,7.24
1993.2411,0.029847898,0.39345432,3.562034993,0.164399454,8.838079536,0.001137712,6.93
1993.2534,0.036623089,0.415199313,3.769685294,0.140917065,8.866936184,0.001068176,6.62
1993.2656,0.04369419,0.43793555,3.963679288,0.147490318,8.830440273,0.001055032,6.31
1993.2779,0.043664236,0.439614066,3.747136829,0.139436567,8.914862319,0.001077606,6
1993.2902,0.056650613,0.46233297,3.716459225,0.143583263,8.911317573,0.001092889,5.7
1993.3025,0.065479126,0.481880021,3.744478777,0.124170792,8.975158354,0.00111574,5.39
1993.3147,0.06954827,0.463586634,4.020924381,0.111960971,8.835199976,0.001027559,5.08
1993.327,0.076389681,0.462369132,3.997980318,0.118714705,8.818365528,0.001033672,4.77
1993.359,0.073228588,0.470611596,3.762667206,0.17766648,8.87187182,0.00112003,4.46
1993.391,0.089026881,0.483999624,4.23443503,0.154502076,8.925792041,0.001025253,4.15
1993.423,0.063294821,0.499287091,3.594204855,0.13963704,9.015743536,0.001109619,3.84
1993.538,0.059086926,0.516391275,3.285754216,0.127444396,9.13380808,0.001233769,3.53
1993.559,0.058442956,0.506211122,3.221311386,0.133012398,8.920721855,0.001154767,3.23
1993.58,0.064422948,0.513883778,3.272110233,0.146420088,9.064425074,0.001160043,2.92
1993.601,0.08264492,0.518379091,3.302237261,0.142254452,9.029757029,0.001184573,2.61
1993.622,0.081062307,0.514259342,3.21126575,0.161006575,8.998614739,0.001193463,2.3
1993.643,0.084277342,0.492640248,3.161622107,0.119528456,9.030463413,0.001206949,1.99
1993.664,0.085602496,0.462150467,3.276356282,0.11839974,8.849264895,0.001170722,1.68
1993.685,0.085863227,0.452254012,3.353323888,0.139053155,8.891973358,0.001179145,1.37
1993.706,0.076037676,0.434724318,3.269491544,0.130308347,8.914358449,0.001130876,1.06
1993.727,0.071647133,0.433875412,3.525761122,0.133137886,8.833087332,0.001046148,0.75
1993.748,0.070123445,0.422535728,3.630492504,0.152120907,8.87378477,0.001062981,0.45
1993.769,0.189497645,0.417286482,3.66598519,0.110374967,8.822851231,0.001080033,0.14
