Age,LuminGB
2003.167,0.989982696
2003.251,0.96179332
2003.334,0.926542871
2003.417,0.925
2003.501,0.918211495
2003.584,0.896172751
2003.667,0.911392405
2003.751,0.923385387
2003.834,0.95904411
2003.917,0.937608164
2004.001,0.965674463
2004.084,0.961512351
2004.167,0.937156806
2004.251,0.914296498
2004.334,0.913903279
2004.417,0.883598055
2004.501,0.907110956
2004.584,0.877943778
2004.667,0.900151534
2004.751,0.877718067
2004.834,0.91631278
2004.917,0.917521424
2005.001,0.907398016
2005.084,0.922516004
2005.167,0.941177401
2005.251,0.902381472
2005.334,0.901408451
2005.417,0.891851304
2005.501,0.899887094
2005.584,0.861699563
2005.667,0.893171102
2005.751,0.902959374
2005.834,0.893850086
2005.917,0.922034676
2006,0.923066369
2006.084,0.938404267
2006.167,0.91025641
2006.25,0.925801021
2006.334,0.919332633
2006.417,0.892971994
2006.5,0.912527963
2006.584,0.88042693
2006.667,0.901916265
2006.75,0.899145147
2006.834,0.907639996
2006.917,0.901577419
2007,0.908151512
2007.084,0.934648681
2007.167,0.941176471
2007.25,0.90949205
2007.334,0.913158122
2007.417,0.91577428
2007.5,0.913132745
2007.584,0.917948433
2007.667,0.925880659
2007.75,0.939516331
2007.834,0.95729192
2007.917,0.932700025
2008,0.961526074
2008.084,1.005829015
2008.167,0.964912281
2008.25,0.938111823
2008.334,0.924665677
2008.417,0.934197893
2008.5,0.933833836
2008.584,0.914143854
2008.667,0.916495859
2008.75,0.928720666
2008.833,0.912899099
2008.917,0.931042347
2009,0.925373134
2009.083,0.95142107
2009.167,0.940514733
2009.25,0.982832418
2009.333,0.958075786
2009.417,0.931165143
2009.5,0.957595097
2009.583,0.917787617
2009.667,0.9431805
2009.75,0.967602729
2009.833,0.96048024
2009.917,0.971893313
2010,0.986079899
2010.083,0.986637869
2010.167,0.997893701
